a,b,aggr
193,112,219
383,193,112
493,157,951
484,185,416
695,142,742
379,199,128
677,139,583
452,81,492
470,135,770
371,104,529
289,172,138
686,154,559
426,129,773
556,112,1129
345,146,609
497,162,792
611,73,325
374,99,415
598,145,434
720,105,282
723,117,374
542,100,593
245,139,324
602,155,599
689,118,511
416,157,686
476,115,801
431,122,780
606,183,448
684,11,79
481,169,517
617,122,720
511,93,691
426,92,349
346,138,734
832,74,106
471,174,343
540,128,957
702,110,352
452,181,428
777,62,128
601,108,644
641,171,323
658,195,269
839,90,114
800,108,336
432,180,525
507,106,1053
629,270,85
256,82,103
583,168,673
720,195,243
444,77,421
260,134,301
422,176,505
423,109,551
742,156,276
527,135,805
507,177,312
482,198,258
675,184,267
246,120,258
434,146,625
667,83,374
669,64,279
557,100,582
694,171,268
589,90,189
510,169,436
380,75,405
492,65,275
274,81,234
531,140,715
402,119,585
403,75,166
360,89,584
733,156,156
642,171,388
573,121,739
801,152,141
656,152,427
614,160,191
609,136,734
654,129,669
613,103,1044
780,194,156
411,147,697
549,210,59
230,188,135
969,198,24
245,70,105
452,13,38
492,160,694
410,114,927
528,42,111
269,196,47
262,176,270
684,124,709
659,112,593
512,153,762
428,79,237
551,33,60
646,82,318
469,154,823
676,154,408
364,114,553
417,128,802
651,101,385
350,158,359
544,134,1041
766,75,118
480,186,433
420,71,473
613,181,217
372,172,398
328,30,43
272,139,285
475,161,817
640,84,458
297,148,169
281,159,465
447,128,808
832,185,121
1052,208,49
461,151,748
635,126,556
673,124,290
490,36,137
606,134,627
526,107,527
428,153,658
806,101,134
257,97,284
454,112,883
374,218,105
444,94,841
438,139,679
612,128,974
498,161,423
485,115,664
603,120,782
591,154,664
262,79,209
704,139,457
904,129,60
433,115,1094
384,89,585
325,191,58
313,112,378
469,125,598
324,152,452
621,259,49
658,200,117
557,127,925
585,172,360
576,172,613
498,187,443
341,106,276
476,117,755
532,96,661
273,21,37
637,145,451
504,32,207
592,90,529
585,171,365
507,99,614
574,139,770
406,115,405
490,122,1014
564,167,267
346,187,129
343,127,469
617,188,333
677,183,216
403,92,673
721,147,289
470,111,638
612,131,675
822,196,43
736,185,163
465,267,73
273,175,275
416,155,565
503,162,914
471,159,712
372,166,350
267,108,247
425,238,38
538,155,566
400,171,402
477,79,484
579,228,65
374,115,523
400,163,748
289,129,308
404,77,275
553,123,579
427,147,617
421,86,666
644,84,472
351,155,325
475,48,117
510,97,841
322,168,482
776,201,89
609,115,816
547,89,395
218,130,159
360,191,297
592,47,72
460,160,570
740,95,337
372,153,470
755,136,275
325,65,151
502,181,526
399,107,611
452,167,592
646,89,617
696,96,236
306,160,136
561,163,665
662,116,559
362,84,377
512,17,199
626,163,546
500,120,726
774,121,239
325,140,607
452,116,900
385,97,556
557,98,533
668,123,527
268,146,121
-25,124,47
427,70,467
597,153,811
658,104,927
475,96,865
402,120,692
286,85,148
664,137,410
399,150,705
253,188,62
543,163,829
482,90,593
758,166,279
388,65,308
307,112,359
341,124,426
399,171,478
636,241,39
524,80,432
320,58,134
489,112,453
523,94,706
875,165,91
261,124,270
519,67,324
581,144,1046
663,140,459
663,137,814
411,60,139
464,179,316
649,166,519
564,77,254
670,117,617
525,78,289
158,134,119
488,90,866
610,108,843
149,216,31
768,51,34
488,168,811
206,85,130
756,169,199
364,125,823
516,143,702
667,122,624
570,200,189
605,166,591
415,124,695
418,159,796
851,24,33
390,157,558
352,206,152
545,130,445
348,97,245
908,171,55
417,115,768
419,141,514
361,105,482
550,74,334
709,136,520
658,39,46
625,115,657
397,115,524
429,196,205
194,199,142
566,109,468
502,96,480
613,130,783
296,155,289
591,49,70
633,172,280
589,84,579
440,171,507
475,188,348
421,89,449
614,101,760
491,117,567
678,190,221
521,174,354
516,122,721
331,74,279
555,104,901
179,68,72
498,172,468
402,178,442
590,133,841
321,178,354
505,46,99
573,171,457
267,100,131
390,136,495
486,214,217
715,61,194
317,159,328
546,196,238
208,113,163
887,110,87
497,100,976
648,66,253
715,191,177
402,187,313
378,94,533
634,106,404
644,139,673
572,52,105
807,104,190
553,125,664
534,108,709
367,144,712
408,79,319
717,104,317
329,106,387
429,98,766
398,45,120
575,98,636
759,123,199
690,220,138
162,166,64
696,148,526
505,101,554
435,183,500
790,132,234
386,91,419
458,151,559
397,137,851
348,129,918
451,82,415
893,114,143
268,79,264
471,109,586
658,141,499
582,78,297
549,200,196
487,59,237
471,118,1069
731,133,271
513,136,698
386,171,464
543,105,810
345,213,146
632,228,112
724,134,526
418,174,533
428,103,504
437,203,90
771,142,194
400,114,640
542,106,1023
302,146,566
339,127,513
635,128,588
684,96,633
482,151,774
560,191,230
346,89,377
350,148,606
352,143,373
383,207,197
631,138,626
799,126,162
465,147,804
622,154,777
477,36,35
737,139,277
448,154,660
517,110,691
341,56,98
410,134,887
452,52,236
690,162,279
701,97,397
606,154,785
617,125,893
522,101,689
292,114,326
381,85,336
697,126,426
530,102,564
369,159,521
422,189,413
512,143,708
546,115,964
416,171,580
494,128,644
544,233,69
300,146,439
456,136,660
561,160,488
438,153,578
402,61,153
656,143,597
573,111,698
618,136,829
887,164,36
50,113,96
222,170,63
525,124,922
375,144,421
314,169,348
375,147,563
609,158,847
410,248,35
513,225,127
395,163,885
693,163,223
478,189,373
784,80,58
686,175,443
865,98,94
471,123,870
653,144,525
546,153,727
417,98,349
638,150,558
939,161,62
864,81,144
519,201,301
35,134,53
661,233,11
448,90,660
64,169,68
320,114,651
387,80,353
348,195,353
653,93,392
342,118,459
634,137,479
625,191,208
399,94,394
472,58,166
513,192,405
619,87,834
667,103,421
487,90,822
476,170,660
205,180,153
172,237,50
313,48,157
685,195,112
745,124,722
528,57,224
604,121,538
400,106,556
494,109,596
379,65,170
505,56,289
494,118,589
543,213,170
380,170,428
772,154,400
591,126,504
861,83,87
189,103,67
483,190,369
319,155,395
406,137,755
194,118,237
416,160,611
438,127,827
436,137,959
351,103,647
639,132,665
671,165,232
455,61,312
672,113,391
570,98,583
800,136,413
300,134,441
416,187,121
131,90,77
492,147,838
703,89,300
552,157,587
747,150,498
504,191,378
543,248,36
568,189,242
134,174,40
295,122,443
557,135,831
485,160,727
620,195,278
383,185,163
254,163,354
721,91,172
359,153,242
463,88,538
180,197,84
598,191,304
253,54,79
569,87,487
270,106,356
468,127,659
577,106,818
624,80,323
450,134,791
107,130,24
544,137,745
516,118,855
544,99,483
564,123,752
350,44,141
563,157,414
577,60,380
502,121,767
584,118,624
804,107,360
769,70,100
588,218,166
541,179,558
543,85,430
668,151,344
641,68,328
513,40,216
408,202,218
721,112,289
552,169,588
487,119,937
502,165,680
537,71,414
674,149,211
556,48,162
379,136,565
424,128,579
275,166,139
680,157,375
370,141,902
580,170,609
490,83,492
365,77,203
292,112,324
449,186,336
534,105,730
527,152,539
621,48,143
693,146,504
551,50,325
550,111,1066
328,104,423
595,127,993
387,181,346
274,195,60
400,112,509
200,150,239
712,182,177
510,180,281
306,123,339
267,63,202
486,210,222
397,146,590
500,173,373
326,180,394
663,120,772
563,143,841
318,164,282
422,122,973
635,108,580
865,198,31
622,173,641
458,111,652
483,150,677
427,81,672
469,148,716
735,164,553
576,151,653
644,133,727
374,166,293
269,160,258
453,126,1049
251,183,175
674,78,162
251,194,244
365,168,347
280,70,171
426,176,304
485,197,126
339,97,300
457,101,631
349,120,364
592,162,356
751,162,288
702,118,295
723,94,329
303,172,130
500,91,668
461,3,39
638,179,437
416,175,445
352,132,681
604,106,481
585,138,600
419,171,294
670,133,513
558,112,841
561,91,494
306,124,493
579,80,313
643,295,29
745,96,265
579,144,903
586,183,389
545,105,676
477,217,82
705,66,181
629,84,579
851,166,171
482,110,728
243,172,123
429,198,248
787,67,84
353,192,125
745,178,280
373,160,361
592,207,210
317,136,261
640,94,420
675,193,206
431,125,726
504,161,599
523,83,389
410,155,887
411,128,672
472,136,865
431,163,672
580,135,495
639,121,701
610,150,796
583,163,966
373,166,427
262,153,283
811,94,177
433,197,340
722,131,376
652,124,660
381,141,530
976,96,55
396,92,378
699,96,476
382,167,554
637,161,483
382,157,587
818,193,143
432,217,17
249,111,310
619,153,562
555,156,614
668,160,590
887,80,136
354,109,357
284,132,277
516,161,621
516,121,1115
511,138,767
541,66,242
558,84,738
537,159,836
458,138,566
502,157,610
389,169,584
320,168,344
551,126,774
572,217,110
501,93,864
655,84,347
415,161,456
-63,145,39
280,165,217
278,194,88
370,213,149
297,168,186
438,87,449
494,187,385
622,136,750
260,38,131
584,105,671
484,207,355
567,265,24
385,162,395
467,194,236
589,80,280
787,88,155
514,114,722
683,101,550
459,115,588
547,205,229
513,134,733
350,178,306
467,58,129
302,113,364
609,120,756
718,47,171
478,55,119
354,148,761
631,114,680
593,185,248
455,102,1048
281,141,198
353,74,211
295,141,333
403,86,417
641,206,27
620,172,171
312,144,466
502,34,18
297,165,358
556,122,1223
59,158,40
675,116,735
483,76,385
203,78,134
431,89,784
540,107,755
579,113,843
656,162,611
466,71,299
497,106,648
628,158,494
562,105,802
448,138,817
607,148,703
466,83,601
651,118,512
483,140,864
644,95,570
483,242,63
657,101,406
357,221,27
230,118,118
272,114,493
323,202,190
928,125,28
497,142,672
528,146,481
397,106,531
311,123,348
582,80,347
248,160,221
403,145,1075
600,94,657
832,81,74
628,81,458
712,72,85
555,76,551
192,83,78
659,109,346
305,164,417
450,97,570
558,70,133
708,182,230
451,15,40
396,164,375
517,147,913
708,86,204
369,208,186
743,161,149
343,128,449
679,149,742
185,156,196
466,158,487
980,167,44
321,184,138
534,110,957
577,3,53
319,152,329
536,159,523
304,85,204
394,127,682
559,110,570
652,131,579
685,50,57
384,134,583
349,26,73
458,86,738
409,188,460
562,136,792
355,140,553
674,69,176
994,127,39
619,185,380
400,216,125
542,123,947
369,186,541
947,211,36
604,104,827
211,237,54
343,133,510
241,111,215
407,122,791
451,112,548
409,71,180
621,178,362
348,138,528
447,135,708
235,140,216
471,56,131
392,117,392
399,90,488
740,142,225
644,161,559
685,135,491
633,168,470
570,146,530
574,104,360
512,146,926
219,192,81
338,81,345
607,116,451
515,151,461
485,55,217
475,159,697
67,154,35
569,160,630
620,130,920
803,102,234
573,211,160
343,101,666
902,105,38
604,151,680
452,70,144
610,196,306
652,108,595
622,179,266
588,154,828
608,226,37
694,88,399
539,118,684
916,106,16
388,202,328
799,123,345
417,39,198
697,113,484
416,109,521
626,150,470
718,135,382
557,161,739
915,110,158
481,136,786
341,92,553
724,94,267
661,91,322
625,96,675
1049,75,49
204,125,112
831,196,184
436,112,765
534,99,881
365,139,461
512,178,665
734,115,357
579,55,129
675,100,426
621,89,402
811,152,237
305,96,483
448,122,870
305,210,196
430,57,135
485,171,516
618,164,411
284,133,228
714,149,367
281,153,376
284,146,315
407,92,575
622,178,298
588,130,957
751,98,256
557,129,935
778,157,363
294,146,443
121,167,52
445,72,310
642,34,41
666,8,85
263,151,306
564,150,693
312,81,140
702,139,481
365,118,424
544,128,982
610,89,428
449,133,1022
478,170,450
657,119,512
615,145,719
765,200,74
399,147,666
589,22,51
318,132,466
508,151,671
603,210,170
522,200,147
560,126,823
575,132,643
668,86,478
509,196,288
479,72,266
623,74,250
590,200,312
743,122,267
304,97,155
507,154,588
333,153,450
631,123,529
346,116,571
403,83,317
701,90,117
629,135,787
705,128,400
811,90,187
326,159,363
85,225,20
579,107,627
445,93,811
541,79,336
489,165,464
424,175,388
667,113,755
559,86,425
487,192,236
547,215,77
720,77,147
495,174,395
562,89,664
349,138,539
355,152,450
400,158,301
470,149,728
450,131,754
603,141,598
385,106,575
765,52,84
508,187,405
658,156,453
647,108,480
349,137,494
715,148,627
446,105,474
563,164,665
481,108,720
551,97,639
677,80,320
271,33,147
334,161,342
607,156,477
379,126,674
531,95,612
526,100,642
462,128,1173
327,118,482
725,129,417
668,105,399
524,131,685
372,106,937
642,143,649
689,199,108
311,166,233
378,116,548
683,126,679
416,135,774
245,214,107
527,184,433
651,47,106
597,195,304
699,163,242
453,166,417
186,212,48
419,204,134
688,139,735
525,118,571
399,200,266
727,132,372
411,104,733
362,171,406
840,125,137
298,115,301
45,182,36
450,175,398
223,85,196
609,146,850
872,140,20
433,200,319
720,106,213
624,200,364
630,125,609
414,80,335
340,215,80
779,158,316
557,70,212
790,106,197
450,155,647
379,98,338
671,184,327
461,98,899
713,118,570
537,147,1089
286,155,411
277,92,315
586,101,1071
307,133,358
563,106,731
470,146,953
259,152,597
682,50,75
643,99,782
623,82,524
507,97,399
270,123,295
351,177,434
438,105,802
482,44,270
773,186,196
588,118,433
491,201,352
367,123,821
425,109,700
625,121,741
583,175,337
465,126,818
490,155,834
702,150,303
422,171,444
265,117,310
401,164,475
630,149,671
878,168,37
308,125,539
448,36,180
448,200,333
293,88,447
522,194,367
260,143,385
707,136,556
756,134,200
579,142,899
763,30,67
532,107,687
525,76,388
397,74,466
709,133,614
696,166,312
620,178,452
487,148,845
587,115,899
435,134,768
579,193,209
601,190,432
683,35,48
710,117,345
704,110,684
493,168,532
557,175,692
697,153,263
635,71,425
708,107,545
480,179,350
757,100,158
360,156,587
424,53,333
791,129,311
585,157,459
420,135,618
568,99,661
554,59,132
580,168,568
740,87,208
722,105,242
257,78,62
274,145,141
449,128,1243
72,65,23
287,156,444
297,122,355
175,167,32
454,210,265
582,79,204
367,181,312
512,107,680
643,67,195
667,166,513
419,62,212
394,184,183
485,147,1050
811,83,128
555,54,267
407,177,502
439,150,912
252,114,195
546,91,439
578,64,459
527,102,783
247,53,166
92,176,47
263,94,186
335,166,471
781,130,276
350,87,476
470,129,724
656,129,638
137,121,52
415,138,928
721,93,334
811,153,151
668,103,481
585,156,524
558,91,799
631,100,673
594,80,411
597,70,174
503,121,1035
375,131,690
257,101,280
572,115,674
613,117,815
286,140,236
375,179,297
502,154,812
333,80,257
122,180,43
504,181,282
282,44,51
39,139,30
87,115,21
611,84,321
456,187,220
436,141,1086
487,166,489
668,130,541
661,149,469
581,165,333
499,119,712
922,109,46
579,114,840
384,165,362
631,108,380
552,151,845
620,107,582
335,172,169
333,92,407
236,125,249
515,185,263
316,168,299
200,109,298
364,160,608
429,200,285
250,204,53
627,56,220
483,103,919
433,199,153
497,132,619
619,259,45
587,143,548
231,148,214
483,91,555
368,136,631
259,54,72
446,155,573
389,145,574
327,115,620
592,151,582
644,137,462
346,198,173
481,57,156
461,73,203
631,154,565
743,107,410
623,66,297
637,164,498
654,123,523
815,134,126
380,128,1082
387,154,616
270,116,116
480,168,526
559,114,775
652,95,175
528,159,671
577,154,474
427,158,952
544,168,554
896,209,38
147,97,137
492,144,909
668,138,308
581,140,733
634,101,312
369,198,120
475,148,1230
321,111,399
442,192,291
347,110,462
416,174,419
444,97,667
348,162,511
495,131,596
718,124,544
390,93,399
423,143,609
545,159,740
437,152,731
479,143,961
250,134,369
527,118,798
643,121,475
313,155,229
512,158,811
597,78,243
690,129,484
284,158,157
543,62,488
518,141,717
346,152,386
627,114,577
400,127,469
537,89,509
701,150,504
399,74,518
619,128,948
476,174,548
671,101,618
707,188,160
475,155,552
488,58,249
713,143,522
528,108,355
529,157,836
652,103,594
653,132,521
498,100,915
449,129,962
390,86,1010
311,185,128
462,166,463
485,69,475
328,235,42
397,87,309
287,90,231
475,95,741
332,99,809
453,29,72
372,65,396
637,121,808
518,88,496
391,129,565
558,142,618
667,140,629
657,164,555
739,56,191
504,99,538
250,178,268
817,150,80
578,135,954
466,87,436
512,106,763
592,83,597
547,154,450
707,41,55
513,75,544
647,109,425
410,163,376
501,110,1159
489,82,432
466,155,735
237,205,126
796,150,109
224,122,334
455,149,929
192,108,140
917,99,41
470,150,775
637,139,460
629,118,737
532,92,261
617,118,667
459,72,218
459,110,612
425,141,648
662,96,487
824,146,134
665,168,289
288,171,267
945,87,64
345,163,373
498,107,805
436,59,187
316,161,404
449,85,200
312,104,282
348,115,668
363,203,337
829,165,123
531,178,627
389,113,472
422,128,1455
321,145,368
294,183,139
448,163,522
383,154,606
678,210,120
339,157,397
312,97,126
135,102,93
450,43,144
230,93,249
557,94,676
383,138,634
332,0,87
582,161,470
393,146,716
638,110,736
565,107,719
644,77,189
333,126,521
452,87,721
835,158,193
776,120,310
369,126,859
543,95,339
745,157,144
793,214,45
162,143,144
433,125,698
612,159,611
688,164,373
280,33,113
515,101,783
778,84,182
647,142,467
561,201,113
588,157,759
615,194,82
277,73,143
266,160,301
386,100,522
574,120,692
415,87,452
538,142,742
857,104,159
479,61,91
284,93,308
400,189,211
572,66,496
560,151,1089
99,152,32
414,83,519
370,112,684
920,83,28
498,148,1063
491,-13,22
488,185,543
604,103,719
556,58,134
728,115,170
115,100,140
323,64,290
711,104,614
660,107,489
319,115,658
391,145,468
470,161,568
627,128,601
353,134,475
314,119,562
286,89,173
447,247,66
543,192,273
536,157,741
621,138,832
571,142,728
623,132,847
503,171,541
547,73,229
463,105,936
652,120,792
569,168,344
246,172,197
514,150,947
237,144,262
571,108,783
661,163,420
167,164,134
524,88,527
188,110,41
361,187,353
634,95,641
349,107,402
424,153,765
422,80,355
436,119,946
578,131,830
600,85,527
711,116,386
653,141,750
277,53,113
620,109,598
435,139,469
594,95,465
867,155,136
634,20,37
462,84,499
621,194,159
510,132,882
334,139,509
539,60,415
704,134,427
401,135,503
199,39,99
783,171,110
666,225,55
542,85,361
257,103,406
634,91,255
405,199,263
197,173,102
558,146,850
427,124,785
633,143,738
640,183,430
238,74,87
610,136,560
346,41,171
378,109,723
367,170,319
489,157,748
416,202,112
602,175,619
344,71,360
675,101,476
432,58,127
808,102,293
543,43,183
93,151,32
669,144,786
747,146,165
817,78,64
632,115,616
809,91,66
161,73,51
535,143,956
516,176,408
643,80,338
766,55,225
480,164,794
504,102,712
639,90,426
455,87,745
747,197,50
652,92,477
251,126,458
614,90,367
327,187,194
583,185,427
393,190,319
629,42,182
544,151,669
430,78,383
606,161,761
426,131,739
609,178,196
737,168,312
521,107,735
347,166,437
176,80,76
510,133,773
286,79,316
397,125,626
623,122,579
417,137,707
448,91,198
559,97,724
485,192,357
609,85,509
422,181,192
346,164,549
558,96,722
390,119,1025
1027,206,42
670,177,516
636,106,451
449,207,249
671,147,595
732,112,282
222,147,159
804,184,178
369,53,127
561,140,748
626,130,616
587,56,159
409,121,940
366,125,710
396,105,551
605,83,417
328,156,661
361,159,488
357,134,555
434,58,149
553,114,765
414,94,520
405,92,435
522,50,94
339,71,241
349,159,466
796,95,46
397,179,136
643,107,709
296,160,261
381,79,454
342,140,414
440,55,192
385,185,455
134,157,43
686,75,115
665,180,256
391,160,666
527,111,920
459,151,762
418,113,465
496,215,212
439,208,175
484,125,924
671,148,454
272,121,407
308,121,650
362,122,600
657,85,320
880,94,183
103,115,81
578,55,133
764,77,320
476,55,211
677,165,209
624,148,847
668,48,141
532,177,561
569,53,116
399,89,554
442,141,886
243,93,92
296,161,333
643,134,592
591,144,797
477,138,754
678,205,154
455,132,703
493,106,652
129,188,70
597,104,755
332,162,577
602,148,868
276,176,223
728,198,83
299,91,174
248,197,51
471,73,427
645,167,379
471,38,83
600,189,217
530,137,1024
545,170,515
698,127,346
421,75,268
396,119,654
310,182,310
447,104,713
555,158,367
444,202,135
417,147,588
540,166,599
527,97,718
422,156,480
677,138,454
320,60,166
490,91,544
600,88,207
414,170,569
520,126,776
415,181,344
318,42,101
589,106,589
455,114,891
775,152,313
444,116,683
538,78,467
