a,b,aggr
565,133,881
753,69,74
939,132,74
373,142,566
569,174,419
346,71,258
615,97,714
741,201,82
522,121,1098
468,167,513
285,183,263
485,163,451
552,102,745
464,110,691
446,248,91
574,65,359
567,56,207
388,90,370
42,161,31
430,76,455
626,142,516
468,135,642
392,89,464
275,201,41
459,107,666
637,133,658
642,208,104
317,75,142
778,92,142
646,227,78
238,117,200
635,233,242
658,100,297
352,95,276
840,144,154
409,52,287
203,119,261
410,142,439
720,111,463
453,192,393
570,56,275
813,204,13
708,95,300
394,163,566
423,166,577
616,149,670
256,100,158
297,79,299
578,92,432
387,91,304
548,122,1283
518,182,599
447,125,834
558,135,864
588,152,798
570,44,341
485,58,167
341,53,76
522,87,394
185,70,133
405,201,107
639,100,632
402,103,833
717,114,410
768,149,278
776,100,174
632,104,713
302,156,296
468,99,669
502,112,752
426,130,883
589,95,560
382,90,272
603,127,673
568,142,873
560,157,1012
277,179,289
90,135,64
641,121,496
537,117,832
620,196,352
526,67,259
560,104,771
572,180,431
496,81,508
462,109,858
505,138,842
515,133,648
96,122,96
470,83,620
563,58,145
968,73,64
902,142,132
549,142,557
512,173,425
368,95,271
530,115,722
822,108,242
382,181,224
-11,100,31
889,79,28
542,184,338
491,113,457
465,127,860
201,89,143
636,117,454
464,200,269
814,104,220
492,127,971
626,164,558
437,77,667
827,115,48
398,155,818
410,85,408
331,127,317
688,130,552
587,173,433
380,131,526
838,196,100
547,135,893
510,133,765
1012,177,46
407,129,890
583,94,509
548,128,621
418,83,242
43,139,85
803,65,170
442,125,769
824,107,133
249,147,405
697,98,305
334,126,716
632,68,336
-58,132,20
662,121,541
741,142,416
353,63,151
597,180,158
434,123,677
717,66,223
580,133,773
639,173,400
481,182,497
457,120,1267
323,181,253
432,79,490
522,173,632
536,163,749
519,135,850
539,160,651
316,106,475
533,145,638
383,90,359
452,50,280
166,146,68
456,132,981
696,148,474
403,150,861
270,167,173
745,138,323
117,168,17
313,72,203
474,45,121
693,154,426
979,94,7
730,160,425
635,71,388
405,191,206
510,145,912
505,111,920
363,31,95
560,69,394
363,137,574
425,205,197
699,102,443
578,127,611
504,132,698
555,79,314
578,138,958
458,39,199
257,36,76
359,134,210
639,193,168
521,149,729
506,118,849
265,212,32
470,193,287
541,214,175
437,87,434
544,76,328
247,152,170
475,220,120
567,91,520
374,142,325
709,185,240
222,-2,41
242,108,220
499,177,304
396,80,361
699,88,317
280,90,165
384,131,904
359,80,564
481,122,1025
601,158,758
409,93,366
898,151,115
503,127,1022
561,158,632
666,56,296
571,228,129
178,94,236
242,188,160
431,56,345
611,153,541
225,61,76
378,169,354
601,144,878
674,133,616
457,138,1117
779,76,182
483,165,334
321,207,31
574,101,478
472,69,273
374,111,907
516,83,436
580,44,108
365,203,252
272,192,89
589,155,726
520,43,151
492,174,555
379,109,508
216,87,46
343,141,558
518,218,63
928,72,87
355,125,453
549,181,487
727,91,258
483,159,867
449,78,505
415,75,463
516,75,596
379,129,771
397,148,525
15,88,42
461,148,531
261,108,462
441,192,296
606,149,730
600,91,675
695,188,162
830,130,271
799,149,322
580,173,349
454,91,591
350,184,123
381,91,341
263,148,309
496,221,129
564,85,348
393,50,177
454,121,611
448,188,144
526,44,246
394,147,532
552,183,286
414,148,773
236,110,314
641,54,148
792,74,62
607,159,724
373,112,709
569,83,565
665,151,718
261,163,97
835,161,155
571,64,506
263,141,300
351,140,810
455,132,447
767,139,451
790,32,39
689,194,252
682,96,526
652,95,371
553,107,824
607,105,526
520,144,982
536,111,1300
676,103,624
481,88,477
558,102,861
497,64,228
585,80,637
665,128,520
718,173,301
567,144,818
337,74,264
866,132,108
797,107,219
541,140,867
584,96,682
235,190,156
538,138,667
225,96,122
535,89,702
762,137,261
553,167,456
109,167,81
553,125,1190
603,116,505
560,154,577
471,103,798
343,137,475
658,237,85
677,92,336
545,155,897
562,153,991
152,122,122
392,158,628
588,105,948
683,103,486
428,95,674
649,86,328
477,166,555
420,131,756
258,117,299
605,201,172
270,140,361
487,88,534
705,139,296
564,156,642
459,127,823
520,174,393
109,211,39
583,78,377
393,126,814
559,168,652
663,125,627
392,152,673
582,70,309
544,107,861
635,155,678
396,102,584
525,95,624
669,128,418
592,108,586
517,128,1122
549,152,536
674,216,137
587,35,82
588,115,954
406,115,684
277,127,459
370,150,681
583,183,200
-44,91,29
325,100,300
834,102,124
532,223,38
463,84,335
483,170,777
738,190,171
865,146,51
291,144,147
698,103,476
515,69,383
443,85,214
539,105,643
649,188,206
492,96,788
488,147,690
665,127,378
528,77,346
888,110,77
271,124,418
735,161,264
405,106,809
635,110,599
225,119,279
720,151,387
577,164,540
754,132,394
368,85,509
318,125,817
446,112,669
555,184,482
130,218,30
386,109,449
778,156,184
621,157,516
361,119,793
696,145,439
460,81,776
613,156,507
871,97,59
350,44,104
362,184,201
407,123,825
552,157,318
473,28,51
691,60,171
771,100,314
496,126,1227
276,157,135
631,167,370
695,119,455
439,119,921
533,136,746
516,119,709
336,121,533
975,132,57
389,95,524
506,190,355
500,194,521
335,140,510
636,113,748
275,137,176
631,139,641
492,116,808
915,135,0
937,32,38
755,137,339
279,87,221
480,174,632
844,169,138
498,55,153
715,157,258
698,32,181
261,126,269
269,177,157
505,133,860
611,176,220
406,163,364
635,135,573
294,28,100
650,132,364
585,115,538
488,118,910
571,166,499
464,185,356
390,138,580
484,137,663
507,166,392
459,106,576
526,99,346
259,72,266
632,143,541
694,136,336
869,145,91
371,147,417
455,185,293
448,126,791
662,127,846
384,139,641
528,134,546
646,103,577
606,137,680
555,71,502
584,114,619
566,129,891
568,149,813
473,216,128
504,32,45
600,46,159
622,130,501
586,110,997
266,16,44
404,66,298
192,126,215
496,152,342
704,128,356
606,115,845
1034,121,36
422,100,512
93,194,49
18,155,25
774,154,269
404,239,77
543,129,629
413,91,484
671,176,283
348,103,653
597,121,1150
667,109,815
716,169,334
304,113,359
398,89,563
582,156,526
417,167,388
845,107,76
415,63,206
319,219,149
561,137,811
289,71,221
498,104,918
720,142,405
9,111,48
263,111,429
392,124,651
539,195,199
695,123,970
359,46,228
642,94,519
555,144,610
524,147,793
537,107,766
620,123,656
185,78,52
694,175,342
401,155,442
140,87,112
698,65,220
491,123,1159
490,64,230
425,102,701
648,170,516
524,85,451
616,80,383
448,144,706
415,126,802
351,168,408
569,191,345
482,120,799
508,112,751
482,133,850
424,52,204
637,156,641
598,118,581
530,137,877
559,100,602
545,124,730
776,104,226
434,109,936
614,83,420
429,15,43
710,100,405
112,162,137
648,156,673
769,137,388
382,186,271
522,249,93
795,174,230
399,137,742
655,41,113
461,212,63
74,126,13
222,94,117
464,107,830
636,134,677
298,51,102
495,171,711
368,139,591
123,80,48
340,51,205
382,91,408
471,186,211
386,86,432
755,167,307
650,103,239
666,81,389
568,134,879
519,137,746
486,91,480
494,146,608
893,94,54
411,134,996
649,141,708
671,136,429
760,197,44
492,140,561
427,45,136
682,163,568
522,140,585
451,216,182
753,107,272
549,175,273
550,131,984
847,70,113
556,176,642
498,112,1214
526,191,541
643,102,506
519,101,1188
327,86,205
686,169,381
653,74,240
647,153,443
438,207,108
584,170,265
442,127,752
513,112,998
403,195,220
524,164,408
396,168,484
260,47,21
556,76,352
513,106,551
379,116,566
413,82,384
509,177,148
571,103,808
591,81,309
517,119,895
9,136,50
485,164,440
262,188,92
463,31,81
797,48,38
683,81,271
843,156,195
539,111,817
498,118,849
474,124,844
628,177,370
644,111,661
417,134,736
635,141,448
467,180,181
789,102,486
667,197,159
691,24,18
652,137,459
1110,154,32
300,171,310
525,160,722
319,119,452
524,170,308
548,160,384
377,104,631
543,100,484
405,53,220
621,81,428
511,199,285
367,81,463
415,124,795
551,189,456
586,189,281
539,234,82
451,162,451
723,131,464
396,88,941
596,130,990
142,154,81
605,135,881
484,124,703
680,124,713
582,161,591
378,206,173
539,150,932
886,145,41
411,70,210
921,89,74
369,189,96
373,125,644
715,94,220
715,123,320
605,86,424
547,126,750
667,9,35
692,159,274
516,118,690
442,126,664
461,149,806
856,75,101
783,58,147
342,25,44
369,105,517
259,139,392
599,129,713
344,117,390
556,81,449
428,54,280
796,136,268
116,97,63
694,93,512
460,93,353
360,108,691
443,159,585
269,138,264
517,90,504
587,73,337
468,168,604
647,78,333
487,197,190
476,120,947
255,195,87
548,95,595
480,176,478
342,170,363
554,80,424
540,115,1039
605,103,588
465,98,620
420,230,57
518,207,95
368,144,457
479,163,405
878,185,74
390,154,561
261,165,257
542,79,429
445,67,213
691,190,183
550,59,273
422,166,620
592,112,990
644,185,331
559,148,988
570,105,757
767,227,86
351,132,670
532,104,357
713,167,405
675,151,598
643,108,631
394,103,411
522,126,754
490,181,398
584,94,636
365,109,564
428,135,629
654,156,440
540,197,263
615,45,80
987,212,34
781,103,266
288,195,71
219,134,255
375,102,601
294,184,111
267,128,405
466,98,825
670,164,358
629,110,534
303,216,69
460,157,764
474,110,707
392,148,703
719,190,128
659,135,622
317,167,303
281,67,68
242,170,341
596,110,537
830,206,22
430,109,662
340,179,273
201,82,99
662,148,607
360,211,120
391,102,474
563,187,275
473,90,802
739,75,172
531,170,505
605,96,501
219,135,517
413,175,306
406,75,254
400,95,741
419,117,540
606,102,675
499,140,997
731,91,262
436,118,727
255,152,303
692,107,517
740,79,334
640,148,451
323,130,534
578,62,240
850,168,58
356,131,395
704,93,274
451,121,920
642,92,446
594,187,329
746,18,14
343,208,138
320,75,179
324,131,390
590,171,277
697,114,193
413,151,798
822,217,76
518,105,595
542,55,223
788,140,186
755,109,383
435,107,727
320,156,428
478,52,77
425,136,659
635,111,733
422,179,209
512,46,43
490,111,728
667,158,614
644,107,544
782,114,169
695,144,428
625,114,851
643,131,392
514,135,904
195,87,34
627,90,585
312,22,66
553,143,1032
577,129,891
480,193,460
456,216,156
795,186,95
316,86,294
285,107,343
408,136,882
330,154,500
407,102,627
468,191,398
453,92,679
582,134,602
746,191,139
681,123,392
576,143,987
442,82,631
814,89,86
425,111,968
778,119,309
562,116,618
614,103,574
425,170,353
484,184,264
797,220,70
693,166,185
547,76,627
851,168,146
538,155,864
202,84,114
176,107,93
612,130,686
209,60,38
636,178,342
456,140,892
560,100,1042
821,104,256
686,66,267
601,99,404
158,137,163
778,72,74
171,147,148
352,147,639
295,155,380
562,167,281
605,78,270
223,71,66
289,182,235
562,151,567
534,125,1088
538,150,941
267,137,515
481,138,638
541,99,628
305,153,374
816,59,105
661,156,418
605,137,549
347,179,297
424,148,718
466,94,468
661,155,487
485,137,719
367,58,151
512,94,592
622,163,448
323,75,213
776,24,23
825,149,186
723,89,166
938,115,73
591,131,706
418,133,942
800,146,250
657,69,139
674,52,107
129,149,143
689,192,171
659,71,180
288,200,159
513,91,368
468,107,614
548,117,741
445,108,676
745,169,189
50,131,33
569,110,556
312,77,211
571,20,63
501,18,79
683,50,104
559,135,885
316,72,261
656,118,488
640,118,538
334,193,262
577,189,383
359,103,388
777,96,434
432,109,562
535,141,843
636,124,395
439,128,697
322,155,429
351,99,317
303,135,326
686,155,244
374,197,346
491,131,958
590,139,726
583,100,727
940,146,88
573,139,997
494,182,505
346,165,436
678,110,507
604,183,325
273,157,262
533,166,479
841,74,18
29,129,43
638,174,428
559,171,635
803,-16,29
319,66,97
758,197,205
577,195,269
544,111,665
452,164,653
384,149,846
727,175,402
760,146,224
436,90,737
493,123,682
592,131,1059
380,122,947
717,135,549
614,123,713
720,118,162
610,179,504
523,110,853
456,91,792
381,78,230
677,206,36
471,125,985
395,64,220
682,170,419
353,150,483
342,194,170
643,192,252
645,147,599
570,119,849
513,127,1142
539,48,286
504,94,707
298,61,94
276,151,287
583,95,613
477,140,901
719,65,121
561,127,813
536,159,553
662,192,156
750,156,184
457,23,91
676,122,560
341,96,286
861,140,190
569,140,655
660,124,700
451,94,538
372,111,450
502,161,578
450,93,744
524,96,478
448,84,326
416,104,817
689,148,299
505,173,542
490,157,765
373,73,327
436,115,591
429,63,300
641,254,68
530,126,1139
328,105,635
546,81,399
658,63,176
125,163,58
501,162,747
314,173,61
317,112,330
543,43,61
678,86,338
365,162,266
480,146,846
682,144,349
701,170,418
483,45,167
635,83,369
544,138,837
474,135,656
555,101,472
681,145,158
658,95,469
394,104,738
460,48,120
484,88,679
598,125,899
414,108,897
549,-18,43
556,142,627
680,159,399
96,143,21
695,112,354
712,121,527
501,250,48
771,123,415
441,156,562
543,139,985
495,116,528
629,165,528
564,126,904
740,108,326
911,121,71
336,103,441
340,130,739
362,135,801
695,41,64
738,117,296
379,61,131
394,178,462
588,94,690
674,175,236
317,163,315
469,61,212
397,141,521
563,130,563
759,98,173
731,113,339
87,157,82
702,107,317
647,64,324
517,83,428
454,92,653
557,127,1105
651,143,320
77,84,47
602,111,532
350,147,401
653,123,547
502,165,589
657,126,793
633,142,407
513,191,390
308,153,290
782,97,193
273,146,379
552,43,98
444,205,137
581,113,530
566,133,622
434,112,865
524,128,698
519,138,988
263,92,361
567,145,826
660,168,423
799,88,236
518,151,854
527,93,979
637,176,436
332,62,137
486,118,947
713,184,286
335,127,411
388,70,274
619,176,287
416,123,711
695,116,570
530,48,92
599,198,206
325,73,162
273,153,230
341,148,565
632,154,516
747,99,234
259,121,333
137,181,71
659,155,659
581,197,198
735,107,286
440,165,507
306,102,220
569,21,73
666,150,465
622,125,948
462,122,1058
394,151,921
603,113,450
464,131,1128
546,126,623
556,8,23
788,130,388
474,116,988
367,116,649
162,108,77
553,88,517
254,102,366
755,87,232
561,108,620
744,166,380
374,242,54
306,148,333
539,72,367
225,131,254
600,69,270
630,149,523
647,109,736
448,137,601
351,163,361
528,118,723
465,180,298
563,135,732
697,154,415
611,57,138
687,75,310
448,210,112
508,237,59
279,84,188
309,226,53
382,135,634
377,86,510
183,174,156
431,175,522
515,184,544
613,108,711
381,108,523
988,142,15
581,41,89
432,134,715
759,61,192
370,189,205
440,233,71
629,108,698
596,86,869
608,128,665
623,186,236
373,132,641
604,64,399
430,83,642
747,166,434
442,177,462
735,159,351
544,127,713
536,71,331
623,170,471
657,160,605
464,164,767
302,106,321
420,123,740
443,165,665
531,138,537
529,137,688
313,93,326
517,183,591
242,93,334
627,142,634
362,132,1030
216,75,79
311,78,255
537,125,715
489,85,549
356,79,272
364,119,174
529,113,660
326,185,211
508,136,859
654,163,530
319,146,413
620,164,306
539,85,641
904,121,61
570,83,435
425,178,203
545,185,259
370,183,372
390,186,394
464,140,926
276,69,183
628,167,420
538,186,555
483,133,843
793,142,362
550,148,775
433,158,643
610,86,358
654,69,149
403,135,403
643,105,529
556,98,718
579,230,11
360,8,47
535,100,548
556,186,297
455,150,707
558,106,431
474,95,525
594,109,845
489,92,542
519,122,995
736,91,219
637,123,613
714,120,349
368,92,90
687,165,405
594,119,938
260,93,226
476,74,212
421,189,422
618,77,467
416,128,665
301,152,416
608,87,261
611,184,501
579,163,391
611,130,556
605,107,474
499,109,1026
384,130,246
312,103,294
552,180,577
665,60,135
583,155,677
536,119,812
556,75,253
394,130,695
686,139,467
537,131,836
719,96,377
239,130,205
1052,109,33
485,194,260
451,160,730
662,96,366
381,113,750
946,163,36
619,140,898
642,155,664
393,157,683
507,138,710
612,115,493
524,152,526
400,155,560
995,132,12
398,133,651
503,137,942
517,51,90
312,150,346
457,125,812
831,113,82
360,152,543
907,115,137
523,133,798
527,128,834
453,146,1004
512,175,538
473,155,670
682,139,334
644,129,441
565,112,891
772,178,131
504,72,207
524,173,624
494,157,560
560,193,340
514,76,402
787,142,302
444,158,513
403,53,155
810,137,328
531,135,849
607,189,228
288,87,226
524,210,219
586,108,655
314,148,341
755,84,313
490,152,407
472,118,1118
330,187,287
373,143,642
532,95,909
475,89,658
289,138,220
497,144,967
711,95,216
516,63,271
449,97,685
247,37,120
585,120,691
495,42,179
636,170,346
230,38,36
430,64,302
621,142,542
449,153,762
399,144,761
555,59,234
533,160,927
332,95,252
596,199,293
567,135,814
702,110,740
528,139,1034
542,159,674
622,182,386
619,155,809
687,82,141
394,61,382
693,162,407
495,125,1053
550,100,582
478,157,951
792,61,189
428,109,533
545,169,406
900,115,35
213,103,161
512,91,386
268,62,172
242,94,295
489,73,290
576,161,501
510,115,971
278,105,394
443,154,749
449,93,677
447,147,450
665,179,154
311,122,591
581,134,853
404,89,236
579,156,653
410,109,922
480,82,1070
682,149,810
436,159,631
692,101,373
321,192,301
571,189,320
428,122,772
497,95,776
433,146,733
894,93,159
353,146,489
512,105,805
529,135,807
426,132,944
319,72,301
460,195,153
435,102,707
427,114,786
700,222,96
391,107,803
794,141,237
207,94,328
340,89,426
469,263,30
574,90,443
356,128,730
490,110,554
253,129,312
449,147,670
365,113,414
233,79,177
340,116,447
100,70,24
740,94,224
697,145,419
564,114,903
485,62,231
662,67,144
594,147,609
501,147,632
531,115,640
273,78,196
384,112,653
436,180,370
494,49,52
99,150,73
686,81,390
605,111,458
587,220,83
615,121,1070
656,49,143
535,98,521
948,51,31
358,144,394
519,102,874
583,188,339
607,71,296
511,82,478
285,208,106
607,213,154
461,190,313
423,129,650
331,98,330
542,103,810
441,102,574
479,101,634
735,119,304
681,109,262
431,148,708
414,195,182
456,73,379
573,111,681
651,165,449
282,141,165
508,81,499
319,159,456
451,139,908
559,152,357
507,131,1583
795,130,118
402,117,735
421,191,284
183,122,73
431,166,682
478,129,1063
619,185,220
561,80,487
391,101,541
761,97,170
707,112,358
409,107,674
557,115,715
706,112,530
343,166,190
493,99,647
509,156,434
409,157,923
526,106,650
482,73,198
535,117,1292
442,129,663
492,149,826
542,118,1249
384,161,479
561,75,579
452,169,667
746,158,453
436,101,735
552,197,297
471,156,674
289,151,291
451,125,816
52,127,87
342,184,194
637,207,107
591,147,558
609,131,416
900,135,168
570,78,278
583,119,838
323,213,112
273,99,206
267,118,260
555,113,785
363,113,484
618,62,258
533,85,435
349,76,235
526,95,890
420,179,382
267,248,52
398,184,333
357,152,841
634,100,377
354,125,864
690,164,502
260,91,236
549,76,425
335,100,147
295,232,27
332,180,151
354,153,368
485,146,785
688,62,119
338,202,212
430,72,298
439,170,461
593,70,327
355,154,303
432,60,271
624,18,49
417,141,820
935,114,44
576,90,581
592,101,638
517,135,835
488,117,972
530,138,720
905,141,96
394,205,210
277,88,152
560,125,597
731,121,157
700,89,411
522,52,131
690,169,217
242,143,101
681,101,511
360,109,623
667,84,539
388,131,454
407,89,625
247,135,195
478,108,1129
504,156,676
570,159,423
669,122,675
608,147,909
402,134,617
206,109,112
728,155,299
540,58,221
465,154,474
434,139,939
655,164,632
395,101,396
704,85,370
241,94,231
539,109,732
664,117,646
812,78,127
448,134,488
569,111,801
458,138,891
644,85,722
600,131,583
478,147,834
282,224,69
488,103,771
669,117,707
810,121,99
577,124,701
270,46,80
434,121,816
549,98,447
467,110,895
734,86,104
805,126,246
374,103,531
725,176,346
284,156,414
601,89,685
731,124,450
597,89,676
404,213,83
527,152,587
572,198,57
694,58,136
236,114,148
800,187,32
416,102,831
606,182,373
323,153,364
470,145,608
413,68,199
825,76,137
464,144,1180
449,208,260
456,135,747
537,26,84
261,132,392
464,100,818
608,124,758
607,59,107
516,107,646
526,92,701
400,143,470
552,76,602
458,100,717
353,110,424
180,192,90
762,116,247
786,120,95
318,114,610
236,99,138
344,168,321
559,162,809
346,171,164
531,124,861
364,168,286
404,158,735
509,172,656
674,142,378
338,55,160
287,160,300
276,129,247
571,94,766
370,103,842
480,199,203
472,123,1065
814,101,136
208,178,161
188,139,139
897,73,57
508,65,395
289,89,225
634,189,80
653,144,536
261,111,402
790,127,240
523,176,444
702,121,470
744,169,273
652,185,173
482,90,641
119,57,83
505,127,1066
701,131,277
571,128,989
525,130,1086
480,113,968
466,233,40
763,95,253
660,128,368
496,166,668
335,126,513
451,143,1021
332,156,268
762,106,208
673,123,516
915,137,112
366,98,515
598,154,499
676,114,650
752,54,115
587,131,810
536,118,642
611,162,470
652,150,770
619,149,852
527,81,338
290,110,402
813,109,240
673,111,641
650,164,376
418,225,38
494,140,1057
783,80,225
409,66,400
659,184,290
709,179,140
452,170,493
532,43,358
424,86,354
708,49,64
337,175,646
344,189,98
455,82,467
741,136,369
582,50,149
504,133,1072
444,149,842
384,107,295
521,89,742
866,67,41
680,69,236
576,97,696
683,135,585
540,142,1143
701,207,49
641,198,443
427,135,613
181,87,100
661,92,431
737,108,492
679,134,438
792,143,305
716,101,320
809,220,42
571,268,34
311,149,398
485,129,898
409,50,201
550,125,756
684,147,369
546,95,474
536,193,415
371,153,475
638,157,517
545,141,722
301,133,529
330,146,363
575,116,743
538,104,542
465,115,730
693,178,100
552,162,686
560,196,145
575,90,671
434,105,581
345,60,242
614,152,724
425,131,708
498,96,737
481,108,677
989,59,30
601,96,560
690,106,463
580,91,438
604,66,185
512,95,637
478,160,680
489,94,757
530,155,829
788,151,283
466,179,464
405,146,449
514,122,875
381,137,635
557,112,840
428,172,307
147,75,34
464,64,155
576,137,906
638,116,530
433,154,480
814,130,195
603,133,453
463,147,829
780,83,183
418,147,757
619,146,862
578,125,774
464,176,417
779,94,276
552,82,354
763,93,313
200,33,64
653,138,640
208,158,128
679,168,475
522,123,1000
255,139,304
704,132,518
307,122,236
511,194,280
647,130,727
451,170,747
526,103,658
613,191,181
462,93,689
403,67,183
278,83,363
660,154,505
428,154,805
377,153,819
594,125,709
661,149,481
798,132,244
43,211,20
795,113,549
354,141,496
338,110,526
637,105,388
353,112,645
456,123,996
456,164,411
357,66,371
600,145,467
830,94,86
566,113,968
503,109,784
309,101,355
317,161,376
704,77,513
513,115,997
198,100,298
536,206,246
568,163,496
377,139,718
481,70,344
451,205,193
428,88,445
865,136,74
440,86,703
13,107,83
291,183,113
544,98,781
477,108,624
244,152,252
191,179,187
297,155,377
452,139,849
540,88,450
504,107,492
353,202,84
472,140,837
617,85,415
417,201,148
620,129,662
527,122,941
342,129,793
711,127,288
499,122,645
320,157,403
486,35,103
406,130,909
329,110,437
396,76,261
692,152,151
448,90,694
438,74,298
139,74,40
384,101,545
580,74,264
165,124,167
716,201,121
478,69,323
648,163,316
730,85,276
581,71,256
126,49,67
455,108,528
429,146,756
512,137,954
636,141,601
460,27,104
348,170,345
137,125,104
521,183,100
647,76,488
554,188,395
431,159,608
444,126,773
650,140,516
374,134,705
644,162,462
543,106,694
481,158,684
759,142,316
608,97,514
493,126,769
430,153,540
535,167,466
517,125,982
461,135,739
180,117,100
614,117,744
463,129,693
407,223,103
915,186,7
453,74,224
635,147,875
335,92,536
860,98,182
516,141,858
453,82,482
433,97,448
361,94,563
326,106,447
650,124,675
362,136,224
811,155,200
296,119,410
391,147,675
885,105,74
457,182,478
501,200,124
400,195,121
514,163,817
330,132,510
361,102,452
277,132,300
205,74,68
662,119,525
713,168,382
267,180,96
443,57,196
790,108,171
797,116,194
706,111,557
627,86,446
497,116,648
552,58,227
455,112,905
457,111,716
418,84,402
740,100,333
466,82,335
528,131,1178
431,172,463
471,135,734
528,166,466
574,162,831
668,94,306
634,78,448
548,149,618
594,168,417
654,97,655
349,130,362
479,71,469
765,68,145
528,129,924
559,153,772
737,176,314
406,142,890
105,156,85
624,170,364
652,29,70
343,119,452
399,239,31
493,92,429
645,139,504
362,164,534
745,158,165
173,110,172
503,56,138
89,187,77
171,202,93
802,99,176
804,94,172
394,99,372
779,127,178
567,125,847
605,133,678
711,110,499
497,152,558
633,70,533
457,91,558
450,68,441
604,108,464
604,175,282
368,101,474
434,191,372
348,96,321
668,95,374
146,168,138
712,124,723
379,106,527
708,109,393
604,143,1028
691,181,316
575,94,524
368,111,257
449,136,985
422,118,744
257,96,233
440,30,130
882,49,143
709,100,761
548,111,829
368,116,432
367,102,440
830,74,57
517,98,579
593,148,627
-16,211,47
699,138,378
492,73,141
490,175,529
135,158,45
663,152,548
598,167,497
588,181,414
480,139,563
352,123,662
647,176,588
955,209,11
174,86,103
389,159,613
1000,190,22
242,210,124
406,94,849
509,162,562
195,153,103
515,76,457
412,194,225
531,163,487
531,165,597
723,161,241
693,133,327
295,179,106
657,159,375
418,212,67
679,102,436
522,145,899
855,176,118
602,119,731
609,62,391
354,208,152
641,81,552
674,169,258
561,135,930
605,118,700
686,79,281
661,64,168
617,114,509
467,191,155
343,164,315
477,76,350
320,135,315
273,191,162
584,148,883
841,143,74
349,186,297
244,223,48
49,170,37
756,126,500
453,131,847
852,146,245
590,87,961
679,99,557
889,134,150
566,120,1088
460,168,205
552,133,768
578,147,473
397,113,657
506,179,500
